StudentID.i,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,F,Caucasian,Some college,19.833722807854713,7,Yes,Moderate,No,No,Yes,No,2.929195591667681,C
1002,18,M,Caucasian,High school,15.40875605584674,0,No,Low,No,No,No,No,3.042914833436377,B
1003,15,M,Asian,Bachelor's,4.210569769,26,No,Moderate,No,No,No,No,0.1126022544661815,F
1004,17,F,Caucasian,Bachelor's,10.028829473958215,14,No,High,Yes,No,No,No,2.0542181397029484,D
1005,17,F,Caucasian,Some college,4.6724952729713305,17,Yes,High,No,No,No,No,1.2880611817953875,F
1006,18,M,Caucasian,High school,8.191218545250186,0,No,Low,Yes,No,No,No,3.0841836144863937,B
1007,15,M,African America,High school,15.601680474699295,10,No,High,No,Yes,No,No,2.748237414891583,C
1008,15,F,African America,Higher,15.424496305808074,22,Yes,Low,Yes,No,No,No,1.360142712316461,F
1009,17,M,Caucasian,None,4.562007558047703,1,No,Moderate,No,Yes,No,Yes,2.896819189513569,C
1010,16,F,Caucasian,High school,18.444466363097202,0,No,High,Yes,No,No,No,3.5734742103297656,A
1011,17,M,Caucasian,High school,11.851363655296536,11,No,Low,No,No,No,No,2.1471716250185144,D
1012,17,M,Caucasian,High school,7.598485819,15,No,Moderate,No,No,No,Yes,1.5595945190402773,F
1013,17,M,African America,High school,10.038711615617213,21,No,High,Yes,No,No,No,1.520077814874808,F
1014,17,M,African America,Some college,12.101425068754875,21,No,Very High,No,Yes,No,No,1.7515809583340785,F
1015,18,F,Caucasian,High school,11.197810636915708,9,Yes,Moderate,No,No,No,No,2.396788117124796,D
1016,15,M,Caucasian,Some college,9.728100710723563,17,Yes,None,No,Yes,No,No,1.3415207165346672,F
1017,18,M,Others,High school,10.098656081788002,14,No,Moderate,Yes,Yes,No,No,2.2321752777159762,D
1018,18,F,Caucasian,None,3.5282382085577235,16,Yes,Moderate,No,No,No,No,1.3844041756940335,F
1019,18,M,African America,Bachelor's,16.25465808609359,29,No,Moderate,Yes,No,No,Yes,0.4695533233798704,F
1020,17,M,Caucasian,High school,10.835206398820308,9,No,Moderate,No,No,Yes,No,2.3957840945306996,D
